dt_gmt8,cum_bankroll
2025-06-14 19:00:00+00:00,254824484.66
2025-06-14 19:00:00+00:00,53682896.06
2025-06-14 19:35:00+00:00,266610117.08
2025-06-14 19:35:00+00:00,46206689.40
2025-06-14 19:35:00+00:00,63157407.81
2025-06-14 19:35:00+00:00,58290215.01
2025-06-14 19:35:00+00:00,56165730.01
2025-06-14 20:00:00+00:00,60986137.45
2025-06-14 20:00:00+00:00,66000960.73
2025-06-14 20:00:00+00:00,278491832.24
2025-06-14 20:00:00+00:00,48343748.78
2025-06-15 04:30:00+00:00,67249786.62
2025-06-15 04:30:00+00:00,284013559.37
2025-06-15 04:30:00+00:00,61579443.05
2025-06-15 04:30:00+00:00,49074980.51
2025-06-15 07:30:00+00:00,59242745.12
2025-06-15 07:30:00+00:00,297149186.49
2025-06-15 07:30:00+00:00,282291727.17
2025-06-15 07:30:00+00:00,61982722.08
2025-06-15 08:30:00+00:00,48777463.44
2025-06-15 08:30:00+00:00,268177140.81
2025-06-15 08:30:00+00:00,274219583.15
2025-06-15 08:30:00+00:00,63693219.62
2025-06-15 08:30:00+00:00,60508558.64
2025-06-15 08:30:00+00:00,61660785.83
2025-06-15 08:30:00+00:00,51344698.36
2025-06-15 08:30:00+00:00,66842084.79
2025-06-15 08:30:00+00:00,63887297.29
2025-06-15 09:30:00+00:00,63499980.55
2025-06-15 09:30:00+00:00,46338590.27
2025-06-15 09:30:00+00:00,286902238.87
2025-06-15 09:30:00+00:00,66436854.65
2025-06-15 13:00:00+00:00,52413.96
2025-06-15 13:00:00+00:00,26310.46
2025-06-15 13:00:00+00:00,46531.16
2025-06-15 13:00:00+00:00,72730.28
2025-06-15 13:00:00+00:00,64512597.17
2025-06-15 13:00:00+00:00,49333.78
2025-06-15 13:00:00+00:00,32111.71
2025-06-15 13:00:00+00:00,300171467.42
2025-06-15 13:00:00+00:00,47676.47
2025-06-15 13:00:00+00:00,31986.64
2025-06-15 13:00:00+00:00,72336.03
2025-06-15 13:00:00+00:00,22593.41
2025-06-15 13:00:00+00:00,32287.51
2025-06-15 13:00:00+00:00,38642.07
2025-06-15 13:00:00+00:00,50964.46
2025-06-15 13:00:00+00:00,39784.19
2025-06-15 13:00:00+00:00,28565.71
2025-06-15 13:00:00+00:00,56173.98
2025-06-15 13:00:00+00:00,43058.88
2025-06-15 13:00:00+00:00,27279.71
2025-06-15 13:00:00+00:00,29897.82
2025-06-15 13:00:00+00:00,48481750.07
2025-06-15 13:00:00+00:00,67983.29
2025-06-15 13:00:00+00:00,60949.05
2025-06-15 13:00:00+00:00,58196.36
2025-06-15 13:00:00+00:00,57847.02
2025-06-15 13:00:00+00:00,91844.71
2025-06-15 13:00:00+00:00,32260.66
2025-06-15 13:00:00+00:00,56476.82
2025-06-15 13:00:00+00:00,31032.45
2025-06-15 13:00:00+00:00,56660.05
2025-06-15 13:00:00+00:00,70997.40
2025-06-15 13:00:00+00:00,52031.81
2025-06-15 13:00:00+00:00,69509559.18
2025-06-15 13:00:00+00:00,45224.19
