window_start,window_end,leg_count,total_odds,stake,payout,profit,legs
2025-09-20 02:30:00+00:00,2025-09-20 02:30:00+00:00,4,14.4182,100.0,1441.82,1341.82,[SAME LEAGUE - Germany Bundesliga] Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93 || Stuttgart vs St. Pauli | Stuttgart -0.75@1.93
2025-09-27 22:00:00+00:00,2025-09-27 22:30:00+00:00,4,13.7317,100.0,1373.17,1273.17,[TIER 2] Dundee United vs Kilmarnock | Kilmarnock +0.25@1.93 || Dundee United vs Kilmarnock | Kilmarnock +0.25@1.93 || Ajax vs NAC Breda | NAC Breda +1.50@1.93 || Ajax vs NAC Breda | NAC Breda +1.50@1.93
2025-09-27 22:15:00+00:00,2025-09-27 23:00:00+00:00,4,13.7317,100.0,1373.17,1273.17,[TIER 1] Atlético Madrid vs Real Madrid | Atlético Madrid +0.25@1.93 || Atlético Madrid vs Real Madrid | Atlético Madrid +0.25@1.93 || Lorient vs Monaco | Lorient +0.75@1.93 || Lorient vs Monaco | Lorient +0.75@1.93
2025-09-27 20:00:00+00:00,2025-09-27 21:30:00+00:00,4,13.7317,100.0,1373.17,1273.17,[TIER 1] Getafe CF vs Levante UD | Levante UD +0.50@1.93 || Getafe CF vs Levante UD | Levante UD +0.50@1.93 || Como vs Cremonese | Cremonese +1.25@1.93 || Heidenheim vs Augsburg | Heidenheim +0.00@1.93
2025-09-28 22:00:00+00:00,2025-09-28 22:15:00+00:00,3,7.1333,100.0,713.33,613.33,[MIXED] Livingston vs Rangers | Rangers -0.75@1.93 || Silkeborg vs Vejle | Vejle +0.50@1.93 || Elche CF vs Celta de Vigo | Elche CF +0.00@1.93
2025-09-28 18:15:00+00:00,2025-09-28 21:30:00+00:00,3,7.1333,100.0,713.33,613.33,[MIXED] NEC vs AZ | NEC +0.25@1.93 || Nice vs Paris | Paris +0.50@1.93 || Freiburg vs Hoffenheim | Hoffenheim +0.25@1.93
2025-09-27 22:00:00+00:00,2025-09-27 22:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - England Championship] Southampton vs Middlesbrough | Middlesbrough +0.25@1.93 || Charlton Athletic vs Blackburn Rovers | Charlton Athletic -0.25@1.93 || Charlton Athletic vs Blackburn Rovers | Charlton Athletic -0.25@1.93
2025-09-27 22:00:00+00:00,2025-09-27 22:30:00+00:00,3,7.1333,100.0,713.33,613.33,[TIER 2] Dundee United vs Kilmarnock | Kilmarnock +0.25@1.93 || Dundee United vs Kilmarnock | Kilmarnock +0.25@1.93 || Ajax vs NAC Breda | NAC Breda +1.50@1.93
2025-09-27 22:15:00+00:00,2025-09-27 23:00:00+00:00,3,7.1333,100.0,713.33,613.33,[TIER 1] Atlético Madrid vs Real Madrid | Atlético Madrid +0.25@1.93 || Atlético Madrid vs Real Madrid | Atlético Madrid +0.25@1.93 || Lorient vs Monaco | Lorient +0.75@1.93
2025-09-27 19:30:00+00:00,2025-09-27 19:30:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - England Championship] Swansea City vs Millwall | Millwall +0.25@1.93 || Coventry City vs Birmingham City | Coventry City -0.25@1.93 || Coventry City vs Birmingham City | Coventry City -0.25@1.93
2025-09-27 20:00:00+00:00,2025-09-27 21:00:00+00:00,3,7.1333,100.0,713.33,613.33,[TIER 1] Getafe CF vs Levante UD | Levante UD +0.50@1.93 || Getafe CF vs Levante UD | Levante UD +0.50@1.93 || Como vs Cremonese | Cremonese +1.25@1.93
2025-09-27 02:00:00+00:00,2025-09-27 02:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Saudi Arabia Professional League] Al Ittihad vs Al Nassr | Al Nassr -0.75@1.93 || Al Ittihad vs Al Nassr | Al Nassr -0.75@1.93 || Al Ittihad vs Al Nassr | Al Nassr -0.75@1.93
2025-09-27 02:45:00+00:00,2025-09-27 02:45:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - France Ligue 1] Strasbourg vs Olympique Marseille | Olympique Marseille -0.50@1.93 || Strasbourg vs Olympique Marseille | Olympique Marseille -0.50@1.93 || Strasbourg vs Olympique Marseille | Olympique Marseille -0.50@1.93
2025-09-27 03:00:00+00:00,2025-09-27 03:00:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - England Championship] West Bromwich Albion vs Leicester City | Leicester City +0.25@1.93 || West Bromwich Albion vs Leicester City | Leicester City +0.25@1.93 || West Bromwich Albion vs Leicester City | Leicester City +0.25@1.93
2025-09-27 03:15:00+00:00,2025-09-27 03:15:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Portugal Liga NOS] Benfica vs Gil Vicente | Gil Vicente +1.50@1.93 || Benfica vs Gil Vicente | Gil Vicente +1.50@1.93 || Benfica vs Gil Vicente | Gil Vicente +1.50@1.93
2025-09-26 01:30:00+00:00,2025-09-26 01:30:00+00:00,3,7.1333,100.0,713.33,613.33,[SAME LEAGUE - Spain La Liga] CA Osasuna vs Elche CF | Elche CF +0.50@1.93 || CA Osasuna vs Elche CF | Elche CF +0.50@1.93 || CA Osasuna vs Elche CF | Elche CF +0.50@1.93
