datetime_gmt8,league,league_short,league_flag,league_color,home_name,away_name,odds_1,odds_x,odds_2,league_tier,competition_type,is_future,status,ah_line_home,ah_line_away,ah_odds_home,ah_odds_away,home_score,away_score,has_recommendation,rec_text,line,rec_odds,ev,confidence,kings_call,kings_call_agreement,primary_signal,secondary_signal
2025-09-27 17:00:00,Japan J1 League,J1 League,🇯🇵,#e60012,Avispa Fukuoka,Sanfrecce Hiroshima,4.1,3.12,1.81,3,league,True,incomplete,0.75,-0.75,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 18:00:00,Japan J1 League,J1 League,🇯🇵,#e60012,Vissel Kobe,Shimizu S-Pulse,1.53,3.68,5.1,3,league,True,incomplete,-1.0,1.0,1.925,1.925,0,0,True,Shimizu S-Pulse +1.0,1.0,1.925,0.30806377940852947,High,,,kings-call,value
2025-09-27 19:30:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Swansea City,Millwall,2.15,3.0,3.5,2,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,True,Millwall +0.25,0.25,1.925,0.1554025312060372,High,,,kings-call,value
2025-09-27 19:30:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Wrexham,Derby County,2.15,3.2,3.5,2,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 19:30:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Coventry City,Birmingham City,2.13,3.55,3.36,2,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 19:30:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Brentford,Manchester United,2.95,3.85,2.2,1,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,True,Manchester United -0.25,-0.25,1.925,0.3946687075308368,High,,,kings-call,value
2025-09-27 20:00:00,Spain La Liga,La Liga,🇪🇸,#ee8900,Getafe CF,Levante UD,2.08,3.1,3.95,1,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,True,Levante UD +0.5,0.5,1.925,0.29041713960612,High,,,kings-call,value
2025-09-27 21:00:00,Italy Serie A,Serie A,🇮🇹,#024494,Como,Cremonese,1.48,4.2,6.93,1,league,True,incomplete,-1.0,1.0,1.925,1.925,0,0,True,Cremonese +1.0,1.0,1.925,0.20895207434846513,High,,,kings-call,value
2025-09-27 21:30:00,Germany Bundesliga,Bundesliga,🇩🇪,#d20515,Heidenheim,Augsburg,2.69,3.39,2.48,1,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,Augsburg -0.0,-0.0,1.925,0.3811931063110546,High,,,kings-call,value
2025-09-27 21:30:00,Germany Bundesliga,Bundesliga,🇩🇪,#d20515,Wolfsburg,RB Leipzig,2.51,3.78,2.46,1,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,RB Leipzig -0.0,-0.0,1.925,0.1751531397380758,High,,,kings-call,value
2025-09-27 21:30:00,Germany Bundesliga,Bundesliga,🇩🇪,#d20515,Mainz 05,Borussia Dortmund,3.03,3.74,2.12,1,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,True,Borussia Dortmund -0.25,-0.25,1.925,0.27655228012389516,High,,,kings-call,value
2025-09-27 21:30:00,Germany Bundesliga,Bundesliga,🇩🇪,#d20515,St. Pauli,Bayer Leverkusen,3.35,3.53,2.05,1,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,True,Bayer Leverkusen -0.25,-0.25,1.925,0.4185230957444098,High,,,kings-call,value
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Oxford United,Sheffield United,2.9,3.5,2.35,2,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,True,Sheffield United -0.25,-0.25,1.925,0.10935351812568943,High,,,hot-pick,value
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Southampton,Middlesbrough,2.2,3.65,3.2,2,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Preston North End,Bristol City,2.5,3.3,2.7,2,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-27 22:00:00,England Championship,Championship,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#004225,Charlton Athletic,Blackburn Rovers,2.37,3.2,3.1,2,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
