dt_gmt8,cum_bankroll
2025-07-18 18:30:00+00:00,77211829.74
2025-07-18 19:00:00+00:00,308102935.08
2025-07-18 19:35:00+00:00,296168083.89
2025-07-18 20:00:00+00:00,500017704.8
2025-07-19 01:00:00+00:00,511580614.22
2025-07-19 18:00:00+00:00,505940083.05
2025-07-19 19:35:00+00:00,486873271.15
2025-07-19 20:00:00+00:00,108570245.54
2025-07-20 04:30:00+00:00,75237747.57
2025-07-20 07:30:00+00:00,466399653.88
2025-07-20 08:15:00+00:00,105175860.34
2025-07-20 08:30:00+00:00,457811898.4
2025-07-20 10:30:00+00:00,482481812.72
2025-07-20 17:00:00+00:00,458357722.08
2025-07-20 17:30:00+00:00,103955322.89
2025-07-20 18:00:00+00:00,467070448.51
2025-07-20 20:00:00+00:00,477871452.63
2025-07-20 22:00:00+00:00,114207964.36
2025-07-21 00:00:00+00:00,115478036.66
2025-07-21 03:00:00+00:00,117727985.09
2025-07-21 04:30:00+00:00,314952551.95
2025-07-21 06:30:00+00:00,75319434.3
2025-07-21 17:00:00+00:00,535335.44
2025-07-22 18:30:00+00:00,492346119.62
2025-07-23 00:00:00+00:00,502168822.79
2025-07-23 01:00:00+00:00,523522116.29
2025-07-23 02:00:00+00:00,488757510.69
2025-07-23 02:15:00+00:00,496488164.37
2025-07-23 02:30:00+00:00,345805118.98
2025-07-23 02:45:00+00:00,124627288.99
2025-07-23 18:30:00+00:00,543085436.13
2025-07-23 23:00:00+00:00,527075764.49
2025-07-23 23:30:00+00:00,381872424.99
2025-07-24 01:00:00+00:00,551453018.6
2025-07-24 02:00:00+00:00,570934847.29
2025-07-24 03:00:00+00:00,597340583.97
2025-07-24 06:00:00+00:00,567473554.77
2025-07-24 08:30:00+00:00,83631566.45
2025-07-24 22:00:00+00:00,139784358.46
2025-07-24 23:30:00+00:00,575570459.6
2025-07-25 00:00:00+00:00,561181198.11
2025-07-25 01:00:00+00:00,586760445.81
2025-07-25 01:30:00+00:00,551342559.86
2025-07-25 02:00:00+00:00,459608145.07
2025-07-25 02:30:00+00:00,600949373.04
2025-07-25 02:45:00+00:00,643282969.93
2025-07-25 03:00:00+00:00,664409445.19
2025-07-25 06:00:00+00:00,527962145.16
2025-07-26 01:00:00+00:00,84727079.49
2025-07-26 02:45:00+00:00,639673126.3
2025-07-26 08:30:00+00:00,684939991.85
2025-07-26 08:40:00+00:00,146738545.03
2025-07-26 10:30:00+00:00,523815301.52
2025-07-26 18:00:00+00:00,713678889.15
2025-07-26 19:00:00+00:00,746686537.77
2025-07-26 19:35:00+00:00,769099309.57
2025-07-27 00:00:00+00:00,759936410.23
2025-07-27 00:15:00+00:00,777509939.71
2025-07-27 05:30:00+00:00,833459450.84
2025-07-27 07:15:00+00:00,610563270.61
2025-07-27 07:30:00+00:00,872006950.44
2025-07-27 08:00:00+00:00,847563505.61
2025-07-27 08:30:00+00:00,177062153.63
2025-07-27 18:00:00+00:00,612822792.76
2025-07-27 19:00:00+00:00,874995801.47
2025-07-27 19:30:00+00:00,652080487.58
2025-07-27 19:35:00+00:00,660171761.67
2025-07-27 20:00:00+00:00,915464357.29
2025-07-27 22:00:00+00:00,845385010.25
2025-07-28 00:00:00+00:00,803115759.74
2025-07-28 00:30:00+00:00,788261859.12
2025-07-28 03:00:00+00:00,837486919.49
2025-07-28 05:30:00+00:00,848466292.7
2025-07-29 01:00:00+00:00,822682644.83
2025-07-29 23:00:00+00:00,860731717.16
2025-07-30 02:00:00+00:00,893646803.78
2025-07-30 02:30:00+00:00,898943078.76
2025-07-31 01:00:00+00:00,940519196.15
2025-07-31 01:30:00+00:00,835982374.56
2025-07-31 02:00:00+00:00,1006773630.06
2025-07-31 02:30:00+00:00,164104633.35
2025-07-31 02:45:00+00:00,1053336910.45
2025-07-31 03:00:00+00:00,1102053742.56
2025-07-31 06:00:00+00:00,1046951055.43
2025-07-31 06:30:00+00:00,176893157.74
2025-07-31 08:30:00+00:00,1074608414.7
2025-08-01 00:00:00+00:00,1111470876.62
2025-08-01 00:45:00+00:00,891214146.98
2025-08-01 01:00:00+00:00,1090117128.23
2025-08-01 01:30:00+00:00,977866234.56
2025-08-01 01:45:00+00:00,938651573.04
2025-08-01 02:00:00+00:00,1011114191.02
2025-08-01 02:15:00+00:00,984959036.03
2025-08-01 02:30:00+00:00,864658079.07
2025-08-01 02:45:00+00:00,1078174635.8
