datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-10-04 02:00:00,Netherlands Eredivisie,NAC Breda,Groningen,NAC Breda 0.0,High,0.0,1.925,0.15124979349803616,0.7627118644067796,0.5227272727272727,0.0,league,2,team_a_xg: -0.471; odds_ft_1: -0.145; team_b_xg: 0.071,team_b_xg: -0.408; team_a_xg: 0.214; odds_ft_2: 0.122,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 02:30:00,Germany Bundesliga,Hoffenheim,Köln,Köln +0.5,High,0.5,1.925,0.20252566347818396,1.309278350515464,1.1176470588235294,-0.5,league,1,team_a_xg: -0.513; team_b_xg: 0.107; market_prob_u25: 0.076,team_b_xg: -0.424; team_a_xg: 0.214; odds_ft_2: -0.074,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 02:45:00,Italy Serie A,Hellas Verona,Sassuolo,Sassuolo -0.0,High,-0.0,1.925,0.2530070157478389,0.7868852459016393,1.2639593908629443,0.0,league,1,team_a_xg: -0.432; odds_ft_1: -0.097; team_b_xg: 0.082,team_b_xg: -0.358; team_a_xg: 0.239; odds_ft_2: 0.092,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 02:45:00,France Ligue 1,Paris,Lorient,Lorient +0.5,High,0.5,1.925,0.1355683985080411,1.275,0.95,-0.5,league,1,team_a_xg: -0.477; rolling_synth_xga_per_sot_conceded_form_away: 0.128; team_b_xg: 0.073,team_b_xg: -0.406; team_a_xg: 0.184; odds_ft_2: -0.069,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 03:00:00,England Premier League,AFC Bournemouth,Fulham,Fulham +0.5,High,0.5,1.925,0.11945864951812774,1.2995257468433925,0.95,-0.5,league,1,team_a_xg: -0.478; team_b_xg: 0.086; market_prob_u25: -0.031,team_b_xg: -0.429; team_a_xg: 0.183; odds_ft_2: -0.077,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 03:00:00,England Championship,Wrexham,Birmingham City,Wrexham +0.25,High,0.25,1.925,0.21712124985090875,0.7627118644067796,0.7428571428571429,0.25,league,2,team_a_xg: -0.453; odds_ft_1: -0.145; team_b_xg: 0.064,team_b_xg: -0.395; team_a_xg: 0.215; odds_ft_2: 0.116,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 03:15:00,Portugal Liga NOS,Casa Pia,GD Estoril Praia,Casa Pia 0.0,High,0.0,1.925,0.15124979349803616,0.7627118644067796,0.5227272727272727,0.0,league,2,team_a_xg: -0.450; odds_ft_1: -0.141; team_b_xg: 0.068,team_b_xg: -0.379; team_a_xg: 0.212; odds_ft_2: 0.092,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 19:30:00,England Premier League,Leeds United,Tottenham Hotspur,Tottenham Hotspur -0.25,High,-0.25,1.925,0.1256838663985716,1.0640394088669953,1.6507936507936507,0.25,league,1,team_a_xg: -0.471; odds_ft_1: -0.143; team_b_xg: 0.082,team_b_xg: -0.428; team_a_xg: 0.244; odds_ft_2: 0.110,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 19:30:00,England Championship,Sheffield Wednesday,Coventry City,Sheffield Wednesday +1.25,High,1.25,1.925,0.3308674834471142,0.7627118644067796,1.4948453608247423,1.25,league,2,team_a_xg: -0.495; odds_ft_1: -0.279; team_b_xg: 0.077,odds_ft_2: 0.628; team_a_xg: 0.289; team_b_xg: -0.175,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-04 19:30:00,England Championship,Hull City,Sheffield United,Hull City 0.0,High,0.0,1.925,0.20683808377298712,0.85,0.5227272727272727,0.0,league,2,team_a_xg: -0.473; odds_ft_1: -0.102; team_b_xg: 0.077,team_b_xg: -0.392; team_a_xg: 0.209; odds_ft_2: 0.059,King's insight: Solid bet based on ML analysis—watch this space!
