datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-11-27 01:45:00,Europe UEFA Champions League,Paphos,Monaco,Paphos +1.0,High,1.0,1.925,0.3578928802457744,0.4727272727272727,1.0,1.0,cup,1,team_a_xg: -0.592; odds_ft_1: -0.255; team_b_xg: 0.132,team_b_xg: -0.534; odds_ft_2: 0.340; team_a_xg: 0.288,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-27 01:45:00,Europe UEFA Champions League,København,Kairat,Kairat +1.5,High,1.5,1.925,0.293359375,1.5488721804511278,0.0,-1.5,cup,1,team_a_xg: -0.583; odds_ft_1: 0.413; team_b_xg: 0.166,team_b_xg: -0.498; team_a_xg: 0.216; odds_ft_2: -0.159,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-27 03:45:00,England Championship,Wrexham,Bristol City,Wrexham 0.0,High,0.0,1.925,0.17503875074229072,0.6774193548387096,0.4090909090909091,0.0,league,2,team_a_xg: -0.547; team_b_xg: 0.137; odds_ft_1: -0.126,team_b_xg: -0.497; team_a_xg: 0.240; odds_ft_2: 0.026,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-27 04:00:00,Europe UEFA Champions League,Liverpool,PSV,PSV +1.75,High,1.75,1.925,0.529954376960942,1.2836879432624113,0.3670886075949367,-1.75,cup,1,team_a_xg: -0.622; odds_ft_1: 0.416; team_b_xg: 0.143,team_b_xg: -0.560; team_a_xg: 0.224; odds_ft_2: -0.173,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-27 04:00:00,Europe UEFA Champions League,Olympiakos Piraeus,Real Madrid,Olympiakos Piraeus +1.25,High,1.25,1.925,0.38769733116779714,0.4727272727272727,1.1787072243346008,1.25,cup,1,team_a_xg: -0.588; odds_ft_1: -0.287; team_b_xg: 0.155,team_b_xg: -0.526; odds_ft_2: 0.370; team_a_xg: 0.305,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-27 04:00:00,Europe UEFA Champions League,PSG,Tottenham Hotspur,Tottenham Hotspur +1.25,High,1.25,1.925,0.0932076031261787,1.5488721804511278,0.3670886075949367,-1.25,cup,1,team_a_xg: -0.593; odds_ft_1: 0.352; team_b_xg: 0.172,team_b_xg: -0.532; team_a_xg: 0.215; odds_ft_2: -0.158,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 02:00:00,Denmark Superliga,SønderjyskE,Viborg,Viborg -0.0,High,-0.0,1.925,0.08465157127715806,0.7837837837837838,0.9457364341085271,0.0,league,3,team_a_xg: -0.583; team_b_xg: 0.151; odds_ft_1: -0.128,team_b_xg: -0.529; team_a_xg: 0.282; odds_ft_2: 0.117,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 03:00:00,Netherlands Eredivisie,PEC Zwolle,Heerenveen,PEC Zwolle +0.25,High,0.25,1.925,0.3444204290887336,0.7142857142857143,0.5932203389830508,0.25,league,2,team_a_xg: -0.586; odds_ft_1: -0.194; team_b_xg: 0.152,team_b_xg: -0.530; team_a_xg: 0.279; odds_ft_2: 0.127,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 03:30:00,Germany Bundesliga,Borussia M'gladbach,RB Leipzig,Borussia M'gladbach +0.5,High,0.5,1.925,0.3411578711420465,1.0838323353293413,1.0776699029126213,0.5,league,1,team_a_xg: -0.610; odds_ft_1: -0.242; market_prob_btts_yes: 0.219,team_b_xg: -0.535; team_a_xg: 0.319; odds_ft_2: 0.241,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 03:45:00,Italy Serie A,Como,Sassuolo,Sassuolo +0.75,High,0.75,1.925,0.13750000000000007,1.2,0.0,-0.75,league,1,team_a_xg: -0.550; odds_ft_1: 0.274; team_b_xg: 0.144,team_b_xg: -0.509; team_a_xg: 0.209; odds_ft_2: -0.117,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 04:00:00,England Championship,Oxford United,Ipswich Town,Oxford United +0.75,High,0.75,1.925,0.6535840073475097,0.5555555555555556,0.5932203389830508,0.75,league,2,team_a_xg: -0.541; odds_ft_1: -0.270; team_b_xg: 0.097,team_b_xg: -0.513; odds_ft_2: 0.342; team_a_xg: 0.292,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 04:15:00,Portugal Liga NOS,Vitória Guimarães,AVS,AVS +1.0,High,1.0,1.925,0.19218750000000007,1.0172413793103448,0.0,-1.0,league,2,team_a_xg: -0.511; odds_ft_1: 0.292; team_b_xg: 0.139,team_b_xg: -0.500; team_a_xg: 0.212; odds_ft_2: -0.138,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-29 20:30:00,England Championship,Stoke City,Hull City,Hull City +0.75,High,0.75,1.925,0.18550788267603596,1.0172413793103448,0.46511627906976744,-0.75,league,2,team_a_xg: -0.527; odds_ft_1: 0.270; team_b_xg: 0.176,team_b_xg: -0.514; team_a_xg: 0.241; odds_ft_2: -0.104,King's insight: Solid bet based on ML analysis—watch this space!
