datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-12-02 02:00:00,Denmark Superliga,Brøndby,Fredericia,Fredericia +1.75,High,1.75,1.925,0.23441665159974714,2.0,0.6428571428571429,-1.75,league,3,team_a_xg: -0.569; odds_ft_1: 0.330; team_b_xg: 0.198,team_b_xg: -0.357; team_a_xg: 0.197; odds_ft_2: -0.170,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-02 03:45:00,Italy Serie A,Bologna,Cremonese,Cremonese +1.25,High,1.25,1.925,0.24277343750000002,1.5340314136125655,0.0,-1.25,league,1,team_a_xg: -0.473; odds_ft_1: 0.267; team_b_xg: 0.183,team_b_xg: -0.358; team_a_xg: 0.203; odds_ft_2: -0.138,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-02 04:00:00,England Championship,Birmingham City,Watford,Watford +0.5,High,0.5,1.925,0.19434964959835782,0.8658536585365854,0.484375,-0.5,league,2,team_a_xg: -0.459; team_b_xg: 0.171; odds_ft_1: 0.063,team_b_xg: -0.344; team_a_xg: 0.255; odds_ft_2: -0.098,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-02 04:15:00,Portugal Liga NOS,FC Arouca,Sporting Braga,FC Arouca +1.0,High,1.0,1.925,0.34103288841731005,0.7027027027027027,1.2083333333333333,1.0,league,2,team_a_xg: -0.541; odds_ft_1: -0.269; team_b_xg: 0.126,team_b_xg: -0.382; team_a_xg: 0.364; odds_ft_2: 0.325,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-03 03:30:00,England Premier League,Fulham,Manchester City,Fulham +1.0,High,1.0,1.925,0.332043842412325,0.3939393939393939,0.9626168224299064,1.0,league,1,team_a_xg: -0.554; odds_ft_1: -0.257; team_b_xg: 0.157,team_b_xg: -0.403; team_a_xg: 0.367; odds_ft_2: 0.316,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-03 03:45:00,England Championship,Blackburn Rovers,Ipswich Town,Blackburn Rovers +0.5,High,0.5,1.925,0.25162658760538104,0.5,0.8163265306122449,0.5,league,2,team_a_xg: -0.522; odds_ft_1: -0.212; team_b_xg: 0.149,team_b_xg: -0.391; team_a_xg: 0.323; odds_ft_2: 0.166,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:30:00,England Premier League,Burnley,Crystal Palace,Burnley +0.75,High,0.75,1.925,0.1751545248932234,0.3939393939393939,0.9626168224299064,0.75,league,1,team_a_xg: -0.518; odds_ft_1: -0.244; team_b_xg: 0.140,team_b_xg: -0.380; team_a_xg: 0.317; odds_ft_2: 0.275,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:30:00,England Premier League,Wolverhampton Wanderers,Nottingham Forest,Nottingham Forest -0.25,High,-0.25,1.925,0.10642866666074569,0.3939393939393939,0.937007874015748,0.25,league,1,team_a_xg: -0.504; odds_ft_1: -0.215; team_b_xg: 0.142,team_b_xg: -0.388; team_a_xg: 0.229; odds_ft_2: 0.060,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Hearts,Kilmarnock,Kilmarnock +1.5,High,1.5,1.925,0.2898914267807352,1.9761904761904763,0.952755905511811,-1.5,league,3,team_a_xg: -0.534; odds_ft_1: 0.310; team_b_xg: 0.199,team_b_xg: -0.361; team_a_xg: 0.208; odds_ft_2: -0.147,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Falkirk,Motherwell,Motherwell -0.0,High,-0.0,1.925,0.2845046737779023,0.7631578947368421,1.2941176470588236,0.0,league,3,team_a_xg: -0.519; team_b_xg: 0.141; odds_ft_1: -0.136,team_b_xg: -0.383; team_a_xg: 0.282; odds_ft_2: 0.078,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Celtic,Dundee,Dundee +2.0,High,2.0,1.925,0.2482885183880477,2.48172762553022,0.952755905511811,-2.0,league,3,team_a_xg: -0.582; odds_ft_1: 0.423; team_b_xg: 0.200,team_b_xg: -0.365; team_a_xg: 0.210; odds_ft_2: -0.170,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 04:15:00,England Premier League,Leeds United,Chelsea,Leeds United +0.75,High,0.75,1.925,0.05252604428818211,0.3939393939393939,1.13,0.75,league,1,team_a_xg: -0.537; odds_ft_1: -0.229; team_b_xg: 0.130,team_b_xg: -0.439; team_a_xg: 0.340; odds_ft_2: 0.203,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 04:00:00,England Championship,Hull City,Middlesbrough,Hull City +0.25,High,0.25,1.925,0.11113829222457017,0.7027027027027027,0.8163265306122449,0.25,league,2,team_a_xg: -0.509; odds_ft_1: -0.171; team_b_xg: 0.129,team_b_xg: -0.367; team_a_xg: 0.246; odds_ft_2: 0.058,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 04:15:00,Portugal Liga NOS,Benfica,Sporting CP,Benfica 0.0,High,0.0,1.925,0.18207240929875698,0.8658536585365854,0.5652173913043478,0.0,league,2,team_a_xg: -0.517; team_b_xg: 0.151; odds_ft_1: -0.098,team_b_xg: -0.394; team_a_xg: 0.279; rolling_shots_against_form_away: 0.038,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 20:30:00,England Premier League,Aston Villa,Arsenal,Aston Villa +0.75,High,0.75,1.925,0.1751545248932234,0.3939393939393939,0.9626168224299064,0.75,league,1,team_a_xg: -0.522; odds_ft_1: -0.219; team_b_xg: 0.130,team_b_xg: -0.444; team_a_xg: 0.325; odds_ft_2: 0.174,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 20:30:00,England Championship,Charlton Athletic,Portsmouth,Portsmouth +0.5,High,0.5,1.925,0.2072094113428382,0.8529411764705882,0.484375,-0.5,league,2,team_a_xg: -0.479; team_b_xg: 0.154; market_prob_u25: -0.063,team_b_xg: -0.373; team_a_xg: 0.217; odds_ft_2: -0.089,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 20:30:00,England Championship,Derby County,Leicester City,Derby County 0.0,High,0.0,1.925,0.1609871198759399,0.8529411764705882,0.5882352941176471,0.0,league,2,team_a_xg: -0.504; team_b_xg: 0.153; odds_ft_1: -0.122,team_b_xg: -0.371; team_a_xg: 0.255; odds_ft_2: 0.023,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 22:30:00,Germany Bundesliga,Stuttgart,Bayern München,Stuttgart +1.25,High,1.25,1.925,0.3224632077974813,0.3939393939393939,1.2076923076923076,1.25,league,1,team_a_xg: -0.589; odds_ft_1: -0.281; team_b_xg: 0.142,team_a_xg: 0.392; team_b_xg: -0.384; odds_ft_2: 0.382,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 22:30:00,Germany Bundesliga,Wolfsburg,Union Berlin,Wolfsburg -0.25,High,-0.25,1.925,0.19270015235126925,1.0776699029126213,0.4025974025974026,-0.25,league,1,team_a_xg: -0.478; team_b_xg: 0.159; market_prob_u25: -0.029,team_b_xg: -0.355; team_a_xg: 0.215; odds_ft_2: -0.088,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 23:00:00,England Premier League,Manchester City,Sunderland,Sunderland +1.75,High,1.75,1.925,0.2514599140279862,1.7528735632183907,0.4025974025974026,-1.75,league,1,team_a_xg: -0.555; odds_ft_1: 0.330; team_b_xg: 0.173,team_b_xg: -0.367; team_a_xg: 0.230; odds_ft_2: -0.159,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 23:00:00,England Championship,Swansea City,Oxford United,Oxford United +0.5,High,0.5,1.925,0.2072094113428382,0.8529411764705882,0.484375,-0.5,league,2,team_a_xg: -0.468; team_b_xg: 0.175; market_prob_u25: -0.061,team_b_xg: -0.372; team_a_xg: 0.216; odds_ft_2: -0.091,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-06 23:00:00,England Championship,Sheffield United,Stoke City,Stoke City +0.5,High,0.5,1.925,0.19434964959835782,0.8658536585365854,0.484375,-0.5,league,2,team_a_xg: -0.470; team_b_xg: 0.180; rolling_synth_xga_per_sot_conceded_form_away: 0.070,team_b_xg: -0.349; team_a_xg: 0.244; odds_ft_2: -0.093,King's insight: Solid bet based on ML analysis—watch this space!
