datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-10-22 00:45:00,Europe UEFA Champions League,FC Barcelona,Olympiakos Piraeus,Olympiakos Piraeus +2.0,High,2.0,1.925,0.11592105730333352,2.130434782608696,0.28125,-2.0,cup,1,team_a_xg: -0.541; odds_ft_1: 0.405; odds_ft_2: 0.185,team_b_xg: -0.534; odds_ft_2: -0.182; team_a_xg: 0.163,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 02:45:00,England Championship,Derby County,Norwich City,Derby County 0.0,High,0.0,1.925,0.19689167273019179,0.8387096774193549,0.5157894736842106,0.0,league,2,team_a_xg: -0.465; team_b_xg: 0.145; odds_ft_1: -0.095,team_b_xg: -0.455; team_a_xg: 0.277; odds_ft_2: 0.090,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 02:45:00,England Championship,Hull City,Leicester City,Hull City +0.25,High,0.25,1.925,0.18897107013631204,0.8387096774193549,0.8666666666666667,0.25,league,2,team_a_xg: -0.467; team_b_xg: 0.158; odds_ft_1: -0.152,team_b_xg: -0.441; team_a_xg: 0.365; odds_ft_2: 0.197,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 02:45:00,England Championship,Millwall,Stoke City,Stoke City +0.25,High,0.25,1.925,0.15257959251975256,0.8387096774193549,0.7647058823529411,-0.25,league,2,team_a_xg: -0.473; team_b_xg: 0.156; odds_ft_1: -0.075,team_b_xg: -0.494; team_a_xg: 0.218; odds_ft_2: -0.103,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 02:45:00,England Championship,Ipswich Town,Charlton Athletic,Charlton Athletic +1.0,High,1.0,1.925,0.1112012316983379,1.3914590747330962,0.5157894736842106,-1.0,league,2,team_a_xg: -0.450; odds_ft_1: 0.226; team_b_xg: 0.138,team_b_xg: -0.473; team_a_xg: 0.188; odds_ft_2: -0.169,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 03:00:00,Europe UEFA Champions League,Bayer Leverkusen,PSG,Bayer Leverkusen +1.0,High,1.0,1.925,0.19535494084480196,1.068181818181818,1.7454545454545454,1.0,cup,1,team_a_xg: -0.489; odds_ft_1: -0.235; team_b_xg: 0.123,odds_ft_2: 0.611; team_a_xg: 0.523; team_b_xg: -0.363,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 03:00:00,Europe UEFA Champions League,København,Borussia Dortmund,København +0.5,High,0.5,1.925,0.1132733808151018,1.068181818181818,1.3690987124463518,0.5,cup,1,team_a_xg: -0.477; odds_ft_1: -0.206; team_b_xg: 0.114,team_a_xg: 0.522; odds_ft_2: 0.414; team_b_xg: -0.393,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 03:00:00,Europe UEFA Champions League,Newcastle United,Benfica,Newcastle United -0.75,High,-0.75,1.925,0.10311444936332786,1.6601941747572815,0.5826771653543307,-0.75,cup,1,team_a_xg: -0.467; odds_ft_1: 0.252; team_b_xg: 0.138,team_b_xg: -0.578; team_a_xg: 0.161; odds_ft_2: -0.144,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-22 03:00:00,Europe UEFA Champions League,Villarreal,Manchester City,Villarreal +0.75,High,0.75,1.925,0.05101824573293315,1.068181818181818,1.7454545454545454,0.75,cup,1,team_a_xg: -0.496; odds_ft_1: -0.225; team_b_xg: 0.115,team_a_xg: 0.529; odds_ft_2: 0.482; team_b_xg: -0.462,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-23 00:45:00,Europe UEFA Champions League,Athletic Club Bilbao,Qarabağ,Qarabağ +1.5,High,1.5,1.925,0.1879502974843107,1.6601941747572815,0.4,-1.5,cup,1,team_a_xg: -0.483; odds_ft_1: 0.331; odds_ft_2: 0.157,team_b_xg: -0.525; team_a_xg: 0.189; odds_ft_2: -0.181,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-23 02:45:00,England Championship,Watford,West Bromwich Albion,Watford +0.25,High,0.25,1.925,0.21838076713925808,0.6842105263157895,0.7647058823529411,0.25,league,2,team_a_xg: -0.447; odds_ft_1: -0.161; team_b_xg: 0.133,team_b_xg: -0.404; team_a_xg: 0.369; odds_ft_2: 0.192,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-23 03:00:00,Europe UEFA Champions League,Chelsea,Ajax,Ajax +1.75,High,1.75,1.925,0.3807564303092229,1.6875,0.5826771653543307,-1.75,cup,1,team_a_xg: -0.539; odds_ft_1: 0.355; odds_ft_2: 0.164,team_b_xg: -0.567; odds_ft_2: -0.186; team_a_xg: 0.162,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-23 03:00:00,Europe UEFA Champions League,Bayern München,Club Brugge,Club Brugge +1.75,High,1.75,1.925,0.2210971476973987,1.9583333333333333,0.5826771653543307,-1.75,cup,1,team_a_xg: -0.509; odds_ft_1: 0.352; odds_ft_2: 0.184,team_b_xg: -0.586; odds_ft_2: -0.175; team_a_xg: 0.171,King's insight: Solid bet based on ML analysis—watch this space!
2025-10-23 03:00:00,Europe UEFA Champions League,Eintracht Frankfurt,Liverpool,Eintracht Frankfurt +1.0,High,1.0,1.925,0.1675746383862582,1.068181818181818,1.7966101694915255,1.0,cup,1,team_a_xg: -0.517; odds_ft_1: -0.232; team_b_xg: 0.125,odds_ft_2: 0.615; team_a_xg: 0.539; team_b_xg: -0.352,King's insight: Solid bet based on ML analysis—watch this space!
