datetime_gmt8,league,league_short,league_flag,league_color,home_name,away_name,odds_1,odds_x,odds_2,league_tier,competition_type,is_future,status,ah_line_home,ah_line_away,ah_odds_home,ah_odds_away,home_score,away_score,has_recommendation,rec_text,line,rec_odds,ev,confidence,kings_call,kings_call_agreement,primary_signal,secondary_signal
2025-09-21 18:15:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,PEC Zwolle,Go Ahead Eagles,2.35,3.7,2.75,2,league,False,complete,-0.25,0.25,1.925,1.925,0,2,False,,0.0,0.0,0.0,,,,,
2025-09-21 18:30:00,Italy Serie A,Serie A,🇮🇹,#024494,Lazio,Roma,2.86,3.15,2.51,1,league,False,complete,0.0,-0.0,1.925,1.925,0,1,False,,0.0,0.0,0.0,,,,,
2025-09-21 20:00:00,Denmark Superliga,Superliga,🇩🇰,#c8102e,Vejle,SønderjyskE,2.1,3.64,3.15,3,league,False,complete,-0.25,0.25,1.925,1.925,2,2,False,,0.0,0.0,0.0,,,,,
2025-09-21 20:00:00,Spain La Liga,La Liga,🇪🇸,#ee8900,Rayo Vallecano,Celta de Vigo,2.25,3.3,3.35,1,league,False,complete,-0.25,0.25,1.925,1.925,1,1,False,,0.0,0.0,0.0,,,,,
2025-09-21 20:30:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,PSV,Ajax,1.65,4.1,4.5,2,league,False,complete,-1.0,1.0,1.925,1.925,2,2,False,,0.0,0.0,0.0,,,,,
2025-09-21 20:30:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,Heerenveen,NEC,2.45,3.85,2.6,2,league,False,complete,0.0,-0.0,1.925,1.925,3,2,False,,0.0,0.0,0.0,,,,,
2025-09-21 21:00:00,France Ligue 1,Ligue 1,🇫🇷,#dae025,Paris,Strasbourg,2.37,3.46,2.9,1,league,False,complete,-0.25,0.25,1.925,1.925,2,3,False,,0.0,0.0,0.0,,,,,
2025-09-21 21:00:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,AFC Bournemouth,Newcastle United,2.51,3.25,2.94,1,league,False,complete,-0.25,0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-21 21:00:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Sunderland,Aston Villa,3.4,3.25,2.18,1,league,False,complete,0.5,-0.5,1.925,1.925,1,1,False,,0.0,0.0,0.0,,,,,
2025-09-21 21:00:00,Italy Serie A,Serie A,🇮🇹,#024494,Torino,Atalanta,3.4,3.25,2.25,1,league,False,complete,0.25,-0.25,1.925,1.925,0,3,False,,0.0,0.0,0.0,,,,,
