datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-12-01 01:00:00,Denmark Superliga,OB,Vejle,Vejle +0.75,High,0.75,1.925,0.17663098448656464,1.5238095238095237,1.0579710144927537,-0.75,league,3,team_a_xg: -0.522; odds_ft_1: 0.268; team_b_xg: 0.189,team_b_xg: -0.500; team_a_xg: 0.154; odds_ft_2: -0.098,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 01:30:00,Spain La Liga,Celta de Vigo,RCD Espanyol,RCD Espanyol +0.5,High,0.5,1.925,0.1964225148578696,1.0821428571428569,0.8434782608695652,-0.5,league,1,team_a_xg: -0.482; team_b_xg: 0.197; odds_ft_1: 0.066,team_b_xg: -0.491; team_a_xg: 0.174; odds_ft_2: -0.087,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 02:00:00,Portugal Liga NOS,Sporting CP,Estrela Amadora,Estrela Amadora +2.0,High,2.0,1.925,0.1399652088297068,2.3763440860215055,0.6,-2.0,league,2,team_a_xg: -0.590; odds_ft_1: 0.422; odds_ft_2: 0.230,team_b_xg: -0.556; team_a_xg: 0.181; odds_ft_2: -0.167,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 02:30:00,Germany Bundesliga,Freiburg,Mainz 05,Mainz 05 +0.5,High,0.5,1.925,0.1964225148578696,1.0821428571428569,0.8434782608695652,-0.5,league,1,team_a_xg: -0.485; team_b_xg: 0.229; odds_ft_1: 0.061,team_b_xg: -0.487; team_a_xg: 0.175; odds_ft_2: -0.087,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 03:00:00,Netherlands Eredivisie,Ajax,Groningen,Groningen +0.75,High,0.75,1.925,0.20567691128750212,1.1071428571428572,0.6,-0.75,league,2,team_a_xg: -0.520; odds_ft_1: 0.273; team_b_xg: 0.189,team_b_xg: -0.522; team_a_xg: 0.177; odds_ft_2: -0.113,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 03:45:00,Italy Serie A,Roma,Napoli,Napoli +0.25,High,0.25,1.925,0.2959084649914874,0.5943396226415095,0.6521739130434783,-0.25,league,1,team_a_xg: -0.496; team_b_xg: 0.197; odds_ft_1: -0.101,team_b_xg: -0.512; team_a_xg: 0.179; odds_ft_2: -0.090,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 03:45:00,France Ligue 1,Olympique Lyonnais,Nantes,Nantes +1.25,High,1.25,1.925,0.2242752565076705,1.581151832460733,0.6521739130434783,-1.25,league,1,team_a_xg: -0.501; odds_ft_1: 0.314; team_b_xg: 0.247,team_b_xg: -0.483; team_a_xg: 0.170; odds_ft_2: -0.111,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 04:00:00,Spain La Liga,Girona FC,Real Madrid,Girona FC +1.25,High,1.25,1.925,0.06432204060626662,0.5943396226415095,1.8203592814371257,1.25,league,1,team_a_xg: -0.610; odds_ft_1: -0.272; team_b_xg: 0.149,odds_ft_2: 0.520; team_a_xg: 0.351; team_b_xg: -0.298,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-01 04:30:00,Portugal Liga NOS,Porto,GD Estoril Praia,GD Estoril Praia +1.75,High,1.75,1.925,0.4821299540720463,1.537037037037037,0.6,-1.75,league,2,team_a_xg: -0.578; odds_ft_1: 0.354; team_b_xg: 0.199,team_b_xg: -0.525; team_a_xg: 0.179; odds_ft_2: -0.115,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-02 02:00:00,Denmark Superliga,Brøndby,Fredericia,Fredericia +1.75,High,1.75,1.925,0.42724727679100205,1.5238095238095237,0.48148148148148145,-1.75,league,3,team_a_xg: -0.572; odds_ft_1: 0.339; team_b_xg: 0.244,team_b_xg: -0.494; team_a_xg: 0.174; odds_ft_2: -0.123,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-02 03:45:00,Italy Serie A,Bologna,Cremonese,Cremonese +1.25,High,1.25,1.925,0.22391595483748705,1.581151832460733,0.6216216216216216,-1.25,league,1,team_a_xg: -0.498; odds_ft_1: 0.288; team_b_xg: 0.244,team_b_xg: -0.470; team_a_xg: 0.169; odds_ft_2: -0.103,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-02 04:00:00,England Championship,Birmingham City,Watford,Watford +0.75,High,0.75,1.925,0.38480768448388664,0.90625,0.6,-0.75,league,2,team_a_xg: -0.478; team_b_xg: 0.173; odds_ft_1: 0.110,team_b_xg: -0.508; team_a_xg: 0.174; odds_ft_2: -0.102,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-02 04:15:00,Portugal Liga NOS,FC Arouca,Sporting Braga,FC Arouca +1.0,High,1.0,1.925,0.356351564200995,0.723404255319149,1.1935483870967742,1.0,league,2,team_a_xg: -0.566; odds_ft_1: -0.270; team_b_xg: 0.177,odds_ft_2: 0.487; team_a_xg: 0.351; team_b_xg: -0.289,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-03 03:30:00,England Premier League,AFC Bournemouth,Everton,Everton +0.5,High,0.5,1.925,0.19642251485786943,1.0821428571428569,0.8434782608695652,-0.5,league,1,team_a_xg: -0.468; team_b_xg: 0.213; odds_ft_1: 0.066,team_b_xg: -0.496; team_a_xg: 0.171; odds_ft_2: -0.087,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-03 04:15:00,England Premier League,Newcastle United,Tottenham Hotspur,Tottenham Hotspur +0.75,High,0.75,1.925,0.06428109573867943,1.581151832460733,0.9117647058823529,-0.75,league,1,team_a_xg: -0.496; odds_ft_1: 0.254; team_b_xg: 0.153,team_b_xg: -0.542; team_a_xg: 0.171; odds_ft_2: -0.114,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:30:00,England Premier League,Arsenal,Brentford,Brentford +1.5,High,1.5,1.925,0.42328458929821283,1.6529850746268657,0.8434782608695652,-1.5,league,1,team_a_xg: -0.520; odds_ft_1: 0.341; team_b_xg: 0.225,team_b_xg: -0.493; team_a_xg: 0.172; odds_ft_2: -0.111,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Celtic,Dundee,Dundee +2.0,High,2.0,1.925,0.7014645327107375,1.5238095238095237,1.0579710144927537,-2.0,league,3,team_a_xg: -0.551; odds_ft_1: 0.374; team_b_xg: 0.203,team_b_xg: -0.484; team_a_xg: 0.167; odds_ft_2: -0.106,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Hearts,Kilmarnock,Kilmarnock +1.5,High,1.5,1.925,0.5724268746977502,1.5238095238095237,1.0579710144927537,-1.5,league,3,team_a_xg: -0.573; odds_ft_1: 0.331; team_b_xg: 0.226,team_b_xg: -0.495; team_a_xg: 0.170; odds_ft_2: -0.114,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Dundee United,Rangers,Rangers -0.75,High,-0.75,1.925,0.31882956251966044,0.7105263157894737,2.267857142857143,0.75,league,3,team_a_xg: -0.576; odds_ft_1: -0.277; team_b_xg: 0.177,odds_ft_2: 0.500; team_a_xg: 0.334; team_b_xg: -0.316,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Aberdeen,St. Mirren,St. Mirren +0.5,High,0.5,1.925,0.2893893353772369,1.2000000000000002,1.152173913043478,-0.5,league,3,team_a_xg: -0.480; team_b_xg: 0.194; odds_ft_1: 0.063,team_b_xg: -0.486; team_a_xg: 0.174; odds_ft_2: -0.087,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 03:45:00,Scotland Premiership,Falkirk,Motherwell,Motherwell -0.0,High,-0.0,1.925,0.16764677634223318,0.8333333333333334,1.152173913043478,0.0,league,3,team_a_xg: -0.530; team_b_xg: 0.159; odds_ft_1: -0.139,team_b_xg: -0.526; team_a_xg: 0.180; odds_ft_2: 0.042,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-04 04:15:00,England Premier League,Liverpool,Sunderland,Sunderland +1.5,High,1.5,1.925,0.3333363919840102,1.6529850746268657,0.6521739130434783,-1.5,league,1,team_a_xg: -0.538; odds_ft_1: 0.331; team_b_xg: 0.208,team_b_xg: -0.488; team_a_xg: 0.172; odds_ft_2: -0.114,King's insight: Solid bet based on ML analysis—watch this space!
