datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-12-15 02:30:00,Germany Bundesliga,Werder Bremen,Stuttgart,Stuttgart -0.25,High,-0.25,1.925,0.19713614322778047,0.916030534351145,1.6373056994818653,0.25,league,1,team_a_xg: -0.515; odds_ft_1: -0.190; team_b_xg: 0.146,team_b_xg: -0.471; team_a_xg: 0.221; odds_ft_2: 0.179,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-15 03:45:00,Italy Serie A,Bologna,Juventus,Juventus -0.0,High,-0.0,1.925,0.3416831082777085,0.5656565656565656,1.1767955801104972,0.0,league,1,team_a_xg: -0.458; odds_ft_1: -0.160; team_b_xg: 0.144,team_b_xg: -0.455; team_a_xg: 0.130; rolling_synth_goals_minus_xg_form_away: -0.031,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-15 04:00:00,Spain La Liga,Deportivo Alavés,Real Madrid,Real Madrid -1.0,High,-1.0,1.925,0.22867622001572221,0.2857142857142857,1.8804347826086956,1.0,league,1,team_a_xg: -0.486; odds_ft_1: -0.246; team_b_xg: 0.134,odds_ft_2: 0.431; team_b_xg: -0.394; team_a_xg: 0.392,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-16 02:45:00,Portugal Liga NOS,Sporting Braga,Santa Clara,Santa Clara +1.0,High,1.0,1.925,0.20221946845198566,1.2608695652173914,0.5,-1.0,league,2,team_a_xg: -0.445; odds_ft_1: 0.227; team_b_xg: 0.151,team_b_xg: -0.413; odds_ft_2: -0.190; team_a_xg: 0.121,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-16 03:45:00,Italy Serie A,Roma,Como,Como +0.25,High,0.25,1.925,0.17154680770988695,0.916030534351145,0.8741007194244604,-0.25,league,1,team_a_xg: -0.428; team_b_xg: 0.152; market_prob_u25: -0.048,team_b_xg: -0.446; team_a_xg: 0.129; odds_ft_2: -0.116,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-16 03:45:00,Scotland Premiership,Rangers,Hibernian,Hibernian +0.5,High,0.5,1.925,0.2709322707608848,1.4705882352941178,1.4285714285714286,-0.5,league,3,team_a_xg: -0.439; odds_ft_1: 0.199; team_b_xg: 0.174,team_b_xg: -0.418; team_a_xg: 0.222; odds_ft_2: -0.109,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-16 04:00:00,Spain La Liga,Rayo Vallecano,Real Betis,Real Betis -0.0,High,-0.0,1.925,0.4086820878031747,0.5656565656565656,1.3214285714285714,0.0,league,1,team_a_xg: -0.452; team_b_xg: 0.124; odds_ft_1: -0.113,team_b_xg: -0.430; team_a_xg: 0.210; rolling_synth_goals_minus_xg_form_away: 0.057,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-16 04:00:00,England Premier League,Manchester United,AFC Bournemouth,AFC Bournemouth +0.5,High,0.5,1.925,0.12999224875015775,1.3043478260869565,0.975609756097561,-0.5,league,1,team_a_xg: -0.485; team_b_xg: 0.182; odds_ft_1: 0.066,team_b_xg: -0.481; odds_ft_2: -0.148; team_a_xg: 0.136,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-16 04:00:00,England Championship,Sheffield Wednesday,Derby County,Sheffield Wednesday +0.5,High,0.5,1.925,0.6745975170734071,0.7906976744186046,0.4838709677419355,0.5,league,2,team_a_xg: -0.456; odds_ft_1: -0.204; team_b_xg: 0.134,team_b_xg: -0.450; team_a_xg: 0.128; odds_ft_2: 0.124,King's insight: Solid bet based on ML analysis—watch this space!
2025-12-16 04:45:00,Portugal Liga NOS,Porto,Estrela Amadora,Estrela Amadora +2.0,High,2.0,1.925,0.30236600400557656,1.9310344827586208,0.4838709677419355,-2.0,league,2,team_a_xg: -0.499; odds_ft_1: 0.428; odds_ft_2: 0.220,team_b_xg: -0.397; odds_ft_2: -0.220; team_a_xg: 0.206,King's insight: Solid bet based on ML analysis—watch this space!
