datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-09-23 17:00:00,Japan J1 League,Shimizu S-Pulse,Urawa Reds,Urawa Reds -0.0,High,-0.0,1.925,0.15357604221834628,0.6785714285714286,0.9312977099236641,0.0,league,3,team_a_xg: -0.638; team_b_xg: 0.157; odds_ft_1: -0.109,team_b_xg: -0.570; team_a_xg: 0.331; odds_ft_2: 0.097,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-24 01:00:00,Spain La Liga,Athletic Club Bilbao,Girona FC,Girona FC +1.25,High,1.25,1.925,0.26934798124512216,1.3455497382198953,0.4444444444444444,-1.25,league,1,team_a_xg: -0.703; odds_ft_1: 0.231; odds_ft_2: 0.103,team_b_xg: -0.581; team_a_xg: 0.298; odds_ft_2: -0.174,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-24 02:45:00,Scotland Premiership,Dundee United,Aberdeen,Dundee United 0.0,High,0.0,1.925,0.19171503213370983,0.8378378378378378,0.5217391304347826,0.0,league,3,team_a_xg: -0.632; team_b_xg: 0.127; rolling_synth_goals_per_xg_ratio_form_home: 0.033,team_b_xg: -0.548; team_a_xg: 0.345; odds_ft_2: 0.070,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-24 03:15:00,Portugal Liga NOS,Benfica,Rio Ave FC,Rio Ave FC +2.0,High,2.0,1.925,0.387109375,2.387596899224806,0.0,-2.0,league,2,team_a_xg: -0.760; odds_ft_1: 0.409; odds_ft_2: 0.262,team_b_xg: -0.592; team_a_xg: 0.303; odds_ft_2: -0.209,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-24 03:30:00,Spain La Liga,Levante UD,Real Madrid,Levante UD +1.5,High,1.5,1.925,0.503007284598417,0.6888888888888889,1.4137931034482758,1.5,league,1,team_a_xg: -0.682; odds_ft_1: -0.231; team_b_xg: 0.103,team_b_xg: -0.645; odds_ft_2: 0.427; team_a_xg: 0.374,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-25 01:00:00,Spain La Liga,Getafe CF,Deportivo Alavés,Deportivo Alavés +0.25,High,0.25,1.925,0.08888886990397238,0.6888888888888889,0.4583333333333333,-0.25,league,1,team_a_xg: -0.636; team_b_xg: 0.128; market_prob_u25: -0.052,team_b_xg: -0.575; team_a_xg: 0.320; odds_ft_2: -0.076,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-25 02:00:00,Netherlands Eredivisie,AZ,PEC Zwolle,PEC Zwolle +1.5,High,1.5,1.925,0.2569595251926659,1.6015037593984962,0.46296296296296297,-1.5,league,2,team_a_xg: -0.701; odds_ft_1: 0.314; team_b_xg: 0.113,team_b_xg: -0.578; team_a_xg: 0.301; odds_ft_2: -0.214,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-25 03:30:00,Spain La Liga,Atlético Madrid,Rayo Vallecano,Rayo Vallecano +1.0,High,1.0,1.925,0.11894117528714859,1.3455497382198953,0.4583333333333333,-1.0,league,1,team_a_xg: -0.657; odds_ft_1: 0.194; team_b_xg: 0.155,team_b_xg: -0.589; team_a_xg: 0.309; odds_ft_2: -0.173,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-26 03:30:00,Spain La Liga,Real Oviedo,FC Barcelona,Real Oviedo +1.75,High,1.75,1.925,0.340234375,0.0,1.5522388059701493,1.75,league,1,team_a_xg: -0.689; odds_ft_1: -0.265; team_b_xg: 0.128,team_b_xg: -0.660; odds_ft_2: 0.442; team_a_xg: 0.373,King's insight: Solid bet based on ML analysis—watch this space!
2025-09-26 23:35:00,Saudi Arabia Professional League,Al Hazm,Al Ahli,Al Hazm +1.25,High,1.25,1.925,0.22481913335470594,0.5,1.4634146341463414,1.25,league,3,team_a_xg: -0.686; odds_ft_1: -0.257; team_b_xg: 0.119,team_b_xg: -0.616; odds_ft_2: 0.385; team_a_xg: 0.355,King's insight: Solid bet based on ML analysis—watch this space!
