datetime_gmt8,league,home_name,away_name,Recommendation,confidence_level,line_betted_on_refined,odds_betted_on_refined,ev_for_bet_refined,pred_home_goals,pred_away_goals,synth_ah_line_home_market_based,competition_type,league_tier,shap_home_explanation,shap_away_explanation,kings_call
2025-10-31 22:50:00,Saudi Arabia Professional League,Al Hilal,Al Shabab,Al Shabab +1.75,High,1.75,1.925,0.19834904821688848,2.25,0.8529411764705882,-1.75,league,3,team_a_xg: -0.568; odds_ft_1: 0.384; team_b_xg: 0.243,team_b_xg: -0.283; team_a_xg: 0.201; odds_ft_2: -0.147,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 03:00:00,Netherlands Eredivisie,PSV,Fortuna Sittard,Fortuna Sittard +2.0,High,2.0,1.925,0.28981424736711225,1.9090909090909092,0.4166666666666667,-2.0,league,2,team_a_xg: -0.611; odds_ft_1: 0.440; team_b_xg: 0.214,team_b_xg: -0.294; team_a_xg: 0.197; odds_ft_2: -0.152,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 03:30:00,Germany Bundesliga,Augsburg,Borussia Dortmund,Augsburg +0.5,High,0.5,1.925,0.11694329000654685,0.5833333333333334,1.0,0.5,league,1,team_a_xg: -0.569; odds_ft_1: -0.234; team_b_xg: 0.172,team_b_xg: -0.361; team_a_xg: 0.360; odds_ft_2: 0.187,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 04:00:00,England Championship,Wrexham,Coventry City,Wrexham +0.25,High,0.25,1.925,0.2202495893307302,0.7368421052631579,0.7303370786516854,0.25,league,2,team_a_xg: -0.522; odds_ft_1: -0.189; team_b_xg: 0.182,team_b_xg: -0.336; team_a_xg: 0.279; odds_ft_2: 0.074,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 04:15:00,Portugal Liga NOS,Sporting CP,Alverca,Alverca +2.0,High,2.0,1.925,0.18044584949894266,2.12962962962963,0.4166666666666667,-2.0,league,2,team_a_xg: -0.588; odds_ft_1: 0.452; odds_ft_2: 0.301,team_b_xg: -0.297; team_a_xg: 0.189; odds_ft_2: -0.155,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 22:00:00,Italy Serie A,Udinese,Atalanta,Udinese +0.75,High,0.75,1.925,0.1833601643382029,0.4090909090909091,0.9760479041916166,0.75,league,1,team_a_xg: -0.499; odds_ft_1: -0.215; team_b_xg: 0.210,team_b_xg: -0.334; team_a_xg: 0.324; odds_ft_2: 0.190,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 22:30:00,Germany Bundesliga,Union Berlin,Freiburg,Freiburg -0.0,High,-0.0,1.925,0.21335149132371928,0.6,0.9635416666666666,0.0,league,1,team_a_xg: -0.485; team_b_xg: 0.179; odds_ft_1: -0.123,team_b_xg: -0.290; team_a_xg: 0.252; odds_ft_2: 0.072,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:00:00,England Premier League,Burnley,Arsenal,Burnley +1.5,High,1.5,1.925,0.44619005190520183,0.4090909090909091,1.2578796561604586,1.5,league,1,team_a_xg: -0.529; odds_ft_1: -0.279; team_b_xg: 0.168,odds_ft_2: 0.458; team_a_xg: 0.326; team_b_xg: -0.266,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:00:00,England Premier League,Crystal Palace,Brentford,Brentford +0.75,High,0.75,1.925,0.05336812285821277,1.2694300518134713,0.553956834532374,-0.75,league,1,team_a_xg: -0.495; team_b_xg: 0.201; odds_ft_1: 0.050,team_b_xg: -0.333; team_a_xg: 0.214; odds_ft_2: -0.085,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:00:00,England Championship,Birmingham City,Portsmouth,Portsmouth +0.75,High,0.75,1.925,0.3308171507261376,0.9204545454545454,0.5294117647058824,-0.75,league,2,team_a_xg: -0.477; team_b_xg: 0.230; odds_ft_1: 0.218,team_b_xg: -0.281; team_a_xg: 0.193; odds_ft_2: -0.094,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:00:00,England Championship,Southampton,Preston North End,Preston North End +0.75,High,0.75,1.925,0.1416996562022858,1.1428571428571428,0.5294117647058824,-0.75,league,2,team_a_xg: -0.471; odds_ft_1: 0.245; team_b_xg: 0.215,team_b_xg: -0.275; team_a_xg: 0.213; odds_ft_2: -0.093,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:00:00,England Championship,Stoke City,Bristol City,Bristol City +0.25,High,0.25,1.925,0.12573987531785752,0.7368421052631579,0.5294117647058824,-0.25,league,2,team_a_xg: -0.479; team_b_xg: 0.188; odds_ft_1: -0.092,team_b_xg: -0.275; team_a_xg: 0.204; odds_ft_2: -0.080,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:00:00,England Championship,Watford,Middlesbrough,Watford +0.25,High,0.25,1.925,0.08007237769393788,0.7368421052631579,0.8765432098765432,0.25,league,2,team_a_xg: -0.492; team_b_xg: 0.233; odds_ft_1: -0.155,team_b_xg: -0.301; team_a_xg: 0.290; odds_ft_2: 0.078,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:00:00,Scotland Premiership,Hearts,Dundee,Dundee +1.25,High,1.25,1.925,0.10925776199852283,1.736842105263158,0.5909090909090909,-1.25,league,3,team_a_xg: -0.533; odds_ft_1: 0.330; team_b_xg: 0.214,team_b_xg: -0.271; team_a_xg: 0.199; odds_ft_2: -0.134,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:15:00,Spain La Liga,Atlético Madrid,Sevilla FC,Sevilla FC +1.5,High,1.5,1.925,0.13000187112813616,1.6144578313253013,0.2,-1.5,league,1,team_a_xg: -0.531; odds_ft_1: 0.326; team_b_xg: 0.166,team_b_xg: -0.284; team_a_xg: 0.189; odds_ft_2: -0.143,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-01 23:30:00,Netherlands Eredivisie,Ajax,Heerenveen,Heerenveen +1.5,High,1.5,1.925,0.541392038193222,1.3715846994535519,0.7303370786516854,-1.5,league,2,team_a_xg: -0.561; odds_ft_1: 0.332; team_b_xg: 0.184,team_b_xg: -0.332; team_a_xg: 0.209; odds_ft_2: -0.147,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 00:00:00,France Ligue 1,PSG,Nice,Nice +1.5,High,1.5,1.925,0.303582184155656,1.6144578313253013,0.553956834532374,-1.5,league,1,team_a_xg: -0.561; odds_ft_1: 0.343; team_b_xg: 0.192,team_b_xg: -0.291; team_a_xg: 0.205; odds_ft_2: -0.151,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 01:00:00,Denmark Superliga,København,Fredericia,Fredericia +1.75,High,1.75,1.925,0.3862300664821118,1.9824561403508771,0.9733333333333334,-1.75,league,3,team_a_xg: -0.558; odds_ft_1: 0.371; team_b_xg: 0.225,team_b_xg: -0.269; team_a_xg: 0.183; odds_ft_2: -0.149,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 01:30:00,Germany Bundesliga,Bayern München,Bayer Leverkusen,Bayer Leverkusen +2.0,High,2.0,1.925,0.5045172110280939,1.6144578313253013,0.553956834532374,-2.0,league,1,team_a_xg: -0.592; odds_ft_1: 0.359; team_b_xg: 0.202,team_b_xg: -0.331; team_a_xg: 0.205; odds_ft_2: -0.144,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 01:30:00,Spain La Liga,Real Sociedad,Athletic Club Bilbao,Athletic Club Bilbao -0.0,High,-0.0,1.925,0.19970354542083996,0.625,0.9760479041916166,0.0,league,1,team_a_xg: -0.480; team_b_xg: 0.208; odds_ft_1: -0.102,team_b_xg: -0.290; team_a_xg: 0.258; market_prob_btts_yes: -0.039,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 02:00:00,France Ligue 1,Monaco,Paris,Paris +1.25,High,1.25,1.925,0.1835992462287459,1.5611510791366907,0.553956834532374,-1.25,league,1,team_a_xg: -0.524; odds_ft_1: 0.307; team_b_xg: 0.188,team_b_xg: -0.302; team_a_xg: 0.210; odds_ft_2: -0.131,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 03:00:00,Netherlands Eredivisie,Feyenoord,Volendam,Volendam +2.0,High,2.0,1.925,0.22649051004795442,2.12962962962963,0.5294117647058824,-2.0,league,2,team_a_xg: -0.593; odds_ft_1: 0.464; odds_ft_2: 0.221,team_b_xg: -0.301; team_a_xg: 0.181; odds_ft_2: -0.145,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 04:00:00,Spain La Liga,Real Madrid,Valencia CF,Valencia CF +2.0,High,2.0,1.925,0.37949515651593024,1.6144578313253013,0.21119766260784967,-2.0,league,1,team_a_xg: -0.588; odds_ft_1: 0.386; team_b_xg: 0.216,team_b_xg: -0.282; team_a_xg: 0.190; odds_ft_2: -0.154,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 04:05:00,France Ligue 1,Auxerre,Olympique Marseille,Auxerre +0.75,High,0.75,1.925,0.15473900990335657,0.3944780333270739,1.0,0.75,league,1,team_a_xg: -0.522; odds_ft_1: -0.231; team_b_xg: 0.167,team_b_xg: -0.335; team_a_xg: 0.315; odds_ft_2: 0.268,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 04:30:00,Portugal Liga NOS,Vitória Guimarães,Benfica,Vitória Guimarães +1.0,High,1.0,1.925,0.43760457395323804,0.25,0.7659574468085106,1.0,league,2,team_a_xg: -0.503; odds_ft_1: -0.259; team_b_xg: 0.186,odds_ft_2: 0.413; team_a_xg: 0.326; team_b_xg: -0.181,King's insight: Solid bet based on ML analysis—watch this space!
2025-11-02 19:15:00,Netherlands Eredivisie,Heracles,PEC Zwolle,PEC Zwolle +0.25,High,0.25,1.925,0.19900504862034463,0.75,0.7303370786516854,-0.25,league,2,team_a_xg: -0.505; team_b_xg: 0.193; odds_ft_1: -0.110,team_b_xg: -0.319; team_a_xg: 0.243; market_prob_btts_yes: 0.047,King's insight: Solid bet based on ML analysis—watch this space!
